ID Caso,Año,Municipio,Departamento,Región,Modalidad,Presunto Responsable,Descripción Presunto Responsable,Abandono o Despojo Forzado de Tierras,Amenaza o Intimidación,Ataque Contra Misión Médica,Confinamiento o Restricción a la Movilidad,Desplazamiento Forzado,Extorsión,Lesionados Civiles,Pillaje,Tortura,Violencia Basada en Género,Otro Hecho Simultáneo,Total de Víctimas del Caso,Tipo de Armas,latitud-longitud
288727,1984,SAN MARTIN,META,PIEDEMONTE LLANERO,INCURSIÓN,AGENTE DEL ESTADO,FUERZAS PUBLICAS,0,1,0,0,0,0,0,1,0,,,4,ARMA DE FUEGO,POINT (-73.6956178151 3.7018798762)
288728,1984,FLORIAN,SANTANDER,PROVINCIA DE VELEZ,RETÉN,GRUPO PARAMILITAR,MUERTE A SECUESTRADORES (MAS),0,0,0,0,0,0,0,0,0,,,5,ARMA DE FUEGO,POINT (-73.9714230675 5.8046663683)
288729,1984,BECERRIL,CESAR,SERRANIA DEL PERIJA,INTERCEPTACIÓN,GUERRILLA,FARC,0,1,0,0,1,0,0,1,0,,,4,ARMA DE FUEGO,POINT (-73.2135300531 9.6241615276)
288735,1985,RIONEGRO,SANTANDER,MAGDALENA MEDIO,ASALTO,AGENTE DEL ESTADO,FUERZAS PUBLICAS,0,0,0,0,0,0,0,0,0,,,5,ARMA DE FUEGO,POINT (-73.1970225257 7.2384628906)
288737,1985,EL BAGRE,ANTIOQUIA,BAJO CAUCA ANTIOQUEÑO,ATAQUE INDISCRIMINADO,AGENTE DEL ESTADO,FUERZAS PUBLICAS,0,0,0,0,0,0,2,0,0,,,5,ARMA DE FUEGO,POINT (-74.799097289 7.5975217942)
288738,1985,CORINTO,CAUCA,NORTE DEL CAUCA,ASALTO,AGENTE DEL ESTADO,FUERZAS PUBLICAS,0,0,0,0,0,0,0,0,0,,,5,ARMA DE FUEGO,POINT (-76.208024206 3.1880341353)
288741,1985,CIMITARRA,SANTANDER,MAGDALENA MEDIO,RUTA,GUERRILLA,FARC,0,0,0,0,0,0,0,0,0,,,4,ARMA DE FUEGO,POINT (-73.9525821232 6.3206818675)
288742,1985,FORTUL,ARAUCA,SARARE,ASALTO,GRUPO PARAMILITAR,MUERTE A SECUESTRADORES (MAS),1,1,0,0,1,0,0,1,1,,,4,ARMA DE FUEGO,POINT (-71.7685577959 6.7970757527)
288746,1985,BOLIVAR,CAUCA,PATIA,DESCONOCIDA,AGENTE DEL ESTADO,FUERZAS PUBLICAS,0,0,0,0,0,0,0,0,0,,,4,ARMA DE FUEGO,POINT (-76.9663120354 1.8374164035)
288748,1985,PUERTO BOYACA,BOYACA,MAGDALENA MEDIO,RETENCIÓN/EJECUCIÓN,GRUPO PARAMILITAR,AUTODEFENSAS CAMPESINAS DEL MAGDALENA MEDIO,0,0,0,0,0,0,0,0,0,,,4,ARMA DE FUEGO,POINT (-74.5879991859 5.9779349517)
288756,1985,BARRANCABERMEJA,SANTANDER,MAGDALENA MEDIO,RETENCIÓN/EJECUCIÓN,GRUPO PARAMILITAR,MUERTE A SECUESTRADORES (MAS),0,0,0,0,0,0,0,0,0,,,8,ARMA DE FUEGO,POINT (-74.0339318421 6.876993626)
288757,1985,BARRANCABERMEJA,SANTANDER,MAGDALENA MEDIO,ASALTO,GRUPO PARAMILITAR,MUERTE A SECUESTRADORES (MAS),0,0,0,0,0,0,0,0,0,,,7,,POINT (-73.8499569753 7.064963864)
288759,1985,ALGECIRAS,HUILA,CENTRO DEL HUILA,FALSO POSITIVO,AGENTE DEL ESTADO,FUERZAS PUBLICAS,0,0,0,0,0,0,0,0,0,,,4,ARMA DE FUEGO,POINT (-75.3153728821 2.5224475968)
288761,1985,SIN INFORMACION,CAUCA,,INTERCEPTACIÓN,GUERRILLA,FARC,0,0,0,0,0,0,1,0,0,,,7,,POINT (-72 4)
288763,1985,"BOGOTA, D.C.","BOGOTA, D. C.",AREA METROPOLITANA DE BOGOTA,PERSECUCIÓN,AGENTE DEL ESTADO,FUERZAS PUBLICAS,0,0,0,0,0,0,0,1,0,,,11,ARMA DE FUEGO,POINT (-74.1073590032 4.6501730303)
288767,1985,TORIBIO,CAUCA,NORTE DEL CAUCA,DESCONOCIDA,GUERRILLA,FARC,0,0,0,0,0,0,0,0,0,,,5,,POINT (-76.271127213 2.9514504091)
288769,1985,PAZ DE ARIPORO,CASANARE,LLANOS ORIENTALES,DESCONOCIDA,GUERRILLA,FARC,0,0,0,0,0,0,0,0,0,,,4,ARMA DE FUEGO,POINT (-71.8909239638 5.8800365704)
288770,1985,VALLEDUPAR,CESAR,SIERRA NEVADA DE SANTA MARTA,ATAQUE INDISCRIMINADO,GUERRILLA,FARC,0,0,0,0,0,0,0,0,0,,,4,ARMA DE FUEGO,POINT (-73.259389309 10.4604812152)
