ID Caso,Año,Municipio,Departamento,Región,Modalidad,Presunto Responsable,Descripción Presunto Responsable,Abandono o Despojo Forzado de Tierras,Amenaza o Intimidación,Ataque Contra Misión Médica,Confinamiento o Restricción a la Movilidad,Desplazamiento Forzado,Extorsión,Lesionados Civiles,Pillaje,Tortura,Violencia Basada en Género,Otro Hecho Simultáneo,Total de Víctimas del Caso,Tipo de Armas,latitud-longitud
292019,2003,MEDELLIN,ANTIOQUIA,VALLE DE ABURRA,DESCONOCIDA,GRUPO ARMADO NO IDENTIFICADO,,0,0,0,0,0,0,0,0,0,,,4,,POINT (-75.581713332 6.246715564)
292027,2003,GUARANDA,SUCRE,LA MOJANA,ASALTO,GRUPO ARMADO NO IDENTIFICADO,,0,0,0,0,0,0,4,0,1,,,4,ARMA DE FUEGO,POINT (-74.5383454196 8.4648470429)
292028,2003,SOLEDAD,ATLANTICO,NORTE DE ATLANTICO,ASALTO,GRUPO PARAMILITAR,,0,0,0,0,0,1,0,0,0,,,4,ARMA DE FUEGO,POINT (-74.784833384 10.9101744673)
292030,2003,CUBARRAL,META,PIEDEMONTE LLANERO,FALSO POSITIVO,AGENTE DEL ESTADO - GRUPO PARAMILITAR,,0,1,0,0,0,0,0,0,0,,,5,,POINT (-73.8392134871 3.7940894646)
292032,2003,EL PLAYON,SANTANDER,PROVINCIA DE SOTO,DESCONOCIDA,GRUPO PARAMILITAR,,0,0,0,0,0,0,0,0,0,,,4,,POINT (-73.2028779315 7.4707195926)
292035,2003,RIOHACHA,LA GUAJIRA,SIERRA NEVADA DE SANTA MARTA,RETENCIÓN/EJECUCIÓN,GRUPO PARAMILITAR,,0,0,0,0,0,0,1,1,1,VIOLENCIA FÍSICA,UN CIVIL LOGRÓ HUÍR,5,,POINT (-72.911488911 11.5287513839)
292038,2003,MEDELLIN,ANTIOQUIA,VALLE DE ABURRA,ASALTO,GRUPO PARAMILITAR,,0,0,0,0,0,0,0,0,0,,,5,ARMA DE FUEGO,POINT (-75.581713332 6.246715564)
292042,2003,FUSAGASUGA,CUNDINAMARCA,SUMAPAZ,DESCONOCIDA,GUERRILLA,,0,0,0,0,0,0,0,0,0,,,4,,POINT (-74.3663339328 4.3384808505)
292045,2003,ACEVEDO,HUILA,SUR DEL HUILA,DESCONOCIDA,GRUPO ARMADO NO DIRIMIDO,,0,0,0,0,0,0,1,0,1,,,4,ARMA DE FUEGO,POINT (-75.8885315631 1.8052632275)
292048,2003,BARBACOAS,NARIÑO,ANDEN PACIFICO SUR,DESCONOCIDA,DESCONOCIDO,,0,0,0,0,0,0,0,0,0,,,4,,POINT (-78.1398949317 1.670345194)
292050,2004,BUCARAMANGA,SANTANDER,PROVINCIA DE SOTO,ASALTO,GRUPO PARAMILITAR,,0,0,0,0,1,0,0,0,0,,,6,,POINT (-73.1325981781 7.1162672756)
292051,2004,SOLITA,CAQUETA,AMAZONIA SUR-ORIENTAL,ASALTO,GRUPO PARAMILITAR,,0,0,0,0,0,0,0,0,0,,,4,,POINT (-75.6197340907 0.8766680033)
292054,2004,YOPAL,CASANARE,PIEDEMONTE LLANERO,ASALTO,GUERRILLA,,0,0,0,0,0,0,0,0,0,,,5,ARMA DE FUEGO,POINT (-72.396915159 5.3276126513)
292055,2004,CORINTO,CAUCA,NORTE DEL CAUCA,RUTA,GRUPO ARMADO NO DIRIMIDO,,0,0,0,0,0,0,1,0,1,,,5,ARMA DE FUEGO,POINT (-76.2613141858 3.1738154571)
292057,2004,SAN JUAN DEL CESAR,LA GUAJIRA,SIERRA NEVADA DE SANTA MARTA,DESCONOCIDA,GRUPO ARMADO NO IDENTIFICADO,,0,0,0,0,0,0,0,0,0,,,9,,POINT (-73.0468238136 10.9533532956)
292058,2004,YOPAL,CASANARE,PIEDEMONTE LLANERO,SICARIATO,DESCONOCIDO,,0,0,0,0,0,0,1,0,0,,,4,ARMA DE FUEGO,POINT (-72.396915159 5.3276126513)
292059,2004,YOPAL,CASANARE,PIEDEMONTE LLANERO,ASALTO,DESCONOCIDO,,0,0,0,0,0,0,1,0,0,,,4,ARMA DE FUEGO,POINT (-72.396915159 5.3276126513)
292061,2003,TIBU,NORTE DE SANTANDER,CATATUMBO,INTERCEPTACIÓN,GRUPO PARAMILITAR,,1,0,0,0,1,0,0,0,1,,,5,ARMA DE FUEGO,POINT (-72.8997210617 8.9982784918)
292062,2004,POLICARPA,NARIÑO,PATIA,RETENCIÓN/EJECUCIÓN,GRUPO PARAMILITAR,,0,0,0,0,1,0,0,0,0,,,9,ARMA DE FUEGO,POINT (-77.4813435899 1.7353542016)
292063,2004,MEDELLIN,ANTIOQUIA,VALLE DE ABURRA,ATAQUE INDISCRIMINADO,DESCONOCIDO,,0,0,0,0,0,0,0,0,0,,,4,ARMA DE FUEGO,POINT (-75.581713332 6.246715564)
292065,2004,GUADALAJARA DE BUGA,VALLE DEL CAUCA,CENTRO DEL VALLE,DESCONOCIDA,GRUPO PARAMILITAR,,0,1,0,0,0,0,1,0,0,,,4,ARMA DE FUEGO,POINT (-76.2989611331 3.9008235438)
