ID Caso,ID Caso Relacionado,Año,Mes,Día,Código DANE de Municipio,Municipio,Departamento,Región,Modalidad,Presunto Responsable,Descripción Presunto Responsable,Abandono o Despojo Forzado de Tierras,Amenaza o Intimidación,Ataque Contra Misión Médica,Confinamiento o Restricción a la Movilidad,Desplazamiento Forzado,Extorsión,Lesionados Civiles,Pillaje,Tortura,Violencia Basada en Género,Otro Hecho Simultáneo,Total de Víctimas del Caso,Tipo de Armas,latitud-longitud
533671,,1975,8,31,5147,CAREPA,ANTIOQUIA,URABA,ENGAÑO,GUERRILLA,FARC,0,0,0,0,0,0,0,0,0,,,8,ND,POINT (-76.6532103356 7.7551163455)
533712,,1975,8,31,5147,CAREPA,ANTIOQUIA,URABA,INCURSIÓN,GUERRILLA,FARC,0,1,0,0,0,0,0,0,0,,,8,ARMA DE FUEGO,POINT (-76.6532103356 7.7551163455)
533848,CR2017533848,1972,5,23,47189,CIENAGA,MAGDALENA,SIERRA NEVADA DE SANTA MARTA,ASALTO,GUERRILLA,ELN,0,0,0,0,0,0,0,0,0,,,7,ND,POINT (-74.2412861592 11.0066568813)
533939,,2018,1,21,5887,YARUMAL,ANTIOQUIA,NORTE DE ANTIOQUIA,ASALTO,GRUPO ARMADO NO IDENTIFICADO,NO APLICA,0,0,0,0,0,0,0,0,0,,,7,ARMA DE FUEGO,POINT (-75.4188331376 6.9638723516)
534122,CR2017534122,2019,9,1,19780,SUAREZ,CAUCA,NORTE DEL CAUCA,INTERCEPTACIÓN,GRUPO ARMADO NO IDENTIFICADO,PRESENCIA GAO SIN ATRIBUCIÓN,0,1,0,0,0,0,1,0,0,,,6,ARMA DE FUEGO - ARTEFACTO EXPLOSIVO - MATERIAL INCENDIARIO,POINT (-76.7331434532 2.981144559)
534157,CR2017534157,2018,10,29,19418,LOPEZ DE MICAY,CAUCA,ANDEN PACIFICO SUR,DESCONOCIDA,GRUPO ARMADO NO IDENTIFICADO,PRESENCIA GAO SIN ATRIBUCIÓN,0,0,0,0,0,0,2,0,0,,,6,ARMA DE FUEGO,POINT (-77.2476915421 2.846715932)
534194,CR2017534194,1973,6,15,23466,MONTELIBANO,CORDOBA,ALTO SINU Y SAN JORGE,ASALTO,GUERRILLA,ELN,0,0,0,0,0,0,0,0,4,,,4,ARMA DE FUEGO,POINT (-75.4168181275 7.9737772443)
534393,,2020,4,29,19450,MERCADERES,CAUCA,PATIA,ASALTO,GRUPO ARMADO NO IDENTIFICADO,NO APLICA,0,1,0,0,1,1,1,0,0,,,4,ARMA DE FUEGO,POINT (-77.3004732243 1.7808830871)
544520,,2019,10,29,19821,TORIBIO,CAUCA,NORTE DEL CAUCA,ATAQUE INDISCRIMINADO,GUERRILLA,DISIDENCIA FARC,0,0,0,0,0,0,6,0,0,,,5,ND,POINT (-76.271127213 2.9514504091)
55333,,2003,5,16,5055,ARGELIA,ANTIOQUIA,ORIENTE ANTIOQUEÑO,FALSO POSITIVO,AGENTE DEL ESTADO - GRUPO PARAMILITAR,NO APLICA,0,1,0,0,0,0,1,0,0,,,4,ARMA DE FUEGO,POINT (-75.1417414563 5.7306718788)
